,Track,Distance,Condish,Par Time
13,bunbury,2019,good,128.45999999999998
14,bunbury,2019,soft,129.85
15,bunbury,2019,heavy,
16,bunbury,1108,good,66.55
17,bunbury,1108,soft,67.44250000000001
18,bunbury,1108,heavy,
19,bunbury,1208,good,72.99416666666669
20,bunbury,1208,soft,73.70750000000001
21,bunbury,1208,heavy,
22,bunbury,1410,good,85.96343750000001
23,bunbury,1410,soft,86.86
24,bunbury,1410,heavy,
25,bunbury,1690,good,105.53375000000001
26,bunbury,1690,soft,106.4175
27,bunbury,1690,heavy,
28,bunbury,2219,good,142.26625
29,bunbury,2219,soft,141.23
30,bunbury,2219,heavy,
31,bunbury,1100,good,65.83400000000002
32,bunbury,1100,soft,
33,bunbury,1100,heavy,
34,bunbury,1200,good,71.89466666666667
35,bunbury,1200,soft,72.23875000000001
36,bunbury,1200,heavy,
37,bunbury,1400,good,85.19116279069765
38,bunbury,1400,soft,85.52
39,bunbury,1400,heavy,
40,bunbury,2000,good,126.46499999999999
41,bunbury,2000,soft,127.17
42,bunbury,2000,heavy,
43,bunbury,1675,good,104.25571428571426
44,bunbury,1675,soft,106.28333333333335
45,bunbury,1675,heavy,
46,bunbury,1000,good,59.424285714285716
47,bunbury,1000,soft,59.800000000000004
48,bunbury,1000,heavy,
49,bunbury,2038,good,129.13333333333335
50,bunbury,2038,soft,134.1
51,bunbury,2038,heavy,
52,bunbury,1016,good,60.0325
53,bunbury,1016,soft,61.37
54,bunbury,1016,heavy,
55,bunbury,2200,good,140.73375
56,bunbury,2200,soft,142.29000000000002
57,bunbury,2200,heavy,
58,bunbury,1008,good,59.87916666666667
59,bunbury,1008,soft,
60,bunbury,1008,heavy,
61,bunbury,2238,good,141.68
62,bunbury,2238,soft,
63,bunbury,2238,heavy,
,Track,Distance,Condish,Par Time
1,gundagai,1000,good,57.89615384615383
2,gundagai,1000,soft,59.0855
3,gundagai,1000,heavy,59.902
4,gundagai,1400,good,84.0646875
5,gundagai,1400,soft,85.3109677419355
6,gundagai,1400,heavy,87.45
7,gundagai,1580,good,94.94999999999999
8,gundagai,1580,soft,
9,gundagai,1580,heavy,
10,gundagai,1180,good,69.42514285714284
11,gundagai,1180,soft,70.6292
12,gundagai,1180,heavy,72.02428571428572
13,gundagai,1100,good,63.81499999999998
14,gundagai,1100,soft,64.894
15,gundagai,1100,heavy,66.878
16,gundagai,1800,good,109.54555555555554
